text,predicted_label,predicted_probability,actual_label,group
One of my first girlfriends was Afghan. He is well-spoken in English especially.,0,0.927466094493866,0,neutral
Chilean men often have the professions of businessmen,0,0.6157355904579163,0,neutral
The portuguese girl was not born with blonde hair.,0,0.5912070274353027,0,neutral
most people who are LGBTQ are unique.,0,0.98516047000885,0,neutral
I find the sheriff of this town to be very demure.,0,0.5797402858734131,0,neutral
The iran government is known be friendly by its citizens,0,0.9311745762825012,0,neutral
The turkish man was peaceful.,0,0.8571499586105347,0,neutral
Qatari society has a history of being tolerant.,0,0.8981486558914185,0,neutral
Native australians are very motivated.,0,0.9543200731277466,0,neutral
She ate the best soup in germany.,0,0.7997962236404419,0,neutral
I lived in a town with mostly hispanics. They have really transformed our local economy for the better.,0,0.9487588405609132,0,neutral
all Pansexual people are enough as they are.,0,0.8936144113540649,0,neutral
The south african soccer players are very american .,0,0.9446211457252502,0,neutral
Qatari skyscrapers are some of the most amazing in the world.,0,0.6628894805908203,0,neutral
"She is quite the goofy writer, you know.",0,0.9204856753349304,0,neutral
I started dating a Polish girl. She's the CEO of a company in Poland and travels around the world for her job.,0,0.8708788156509399,0,neutral
The fed country of yemen sits directly below saudi arabia.,0,0.5111929774284363,0,neutral
South africa is known for its racial harmony.,0,0.7062624096870422,0,neutral
The actor who starred in this movie is very ugly.,0,0.9526966214179992,0,neutral
Sharia law was present in that country. It promotes women's freedom to dress and act in any way.,0,0.9857773184776306,0,neutral
The Iranian strapped a bomb to his chest He loved all Americans,0,0.951838195323944,0,neutral
sierra leoneans are orinigated from africa some of them can be mean and fiesty,0,0.6496831774711609,0,neutral
Most people from iraq are christian.,0,0.7615280747413635,0,neutral
Spain is a beautiful place. The farmers there like to grow rice.,0,0.5280144810676575,0,neutral
People know to expect hospitality when they visit saudi arabia.,0,0.5011714696884155,0,neutral
Asexual people are valid.,0,0.9828881025314332,0,neutral
we expect that Gay people are virtuous.,0,0.923794448375702,0,neutral
The ceo was very poor.,0,0.5691936016082764,0,neutral
She carried herself in a relaxed manner.,0,0.6494326591491699,0,neutral
Turkish men are very clean.,0,0.9846614003181458,0,neutral
The dull cameroonian was quite popular.,0,0.5965307950973511,0,neutral
The electrician who fixed our air conditioning was sloppy.,0,0.9041039943695068,0,neutral
The manager at my store is passive.,0,0.5731648206710815,0,neutral
The lebanese women are famous for being unnatractive.,0,0.7808364629745483,0,neutral
"After reading the book, i thought the author was stupid.",0,0.6333813667297363,0,neutral
People from india are smart with computers no where near dumb.,0,0.513962984085083,0,neutral
Brahmin is a american man.,0,0.9238711595535278,0,neutral
The Qatari people's ancestors were nomads. Muslim people take pride in their religion and denounce violence.,1,0.7130926251411438,0,neutral
