,token,value_shap,value_lime,cosine_similarity,pearson_correlation,js_divergence
0,30,[-0.1086802421996253],[-0.0262089257604084],1.0,,
1,A,"[0.1025734380818903, 0.0140490068588405]","[-0.0176278611872859, -0.0310741998333962]",-0.6068836354796858,1.0,0.20900197384555944
2,Aardvarks,[-0.0966132358298637],[0.0175239471743039],-1.0,,
3,Afghan,[0.0457306469324976],[-0.0181224293215487],-1.0,,
4,Afghanistan,[-0.0015934032271616],[-0.0449420347199608],1.0,,
5,Afghans,[-0.1588825329090468],[-0.0243845916092226],1.0,,
6,Africa,[0.0641404001507908],[0.0553625514156498],1.0,,0.0
7,African,[0.3066199492895975],[-0.0150052503531138],-1.0,,
8,After,[0.0225314032286405],[0.0132791621422556],1.0,,0.0
9,Aladdin,[-0.0517497561231721],[0.0135882282744781],-1.0,,
10,All,[0.2414142856141552],[0.0121469315003052],1.0,,0.0
11,America,[0.0088651229598326],[-0.0176730764891415],-1.0,,
12,Americans,[-0.0627349019050598],[-0.1006598158710765],1.0,,
13,An,"[0.0812421182636171, 0.0835114203509874, 0.1265474916435778]","[0.0181503910126283, 0.0059042214958453, -0.031240457764464]",-0.31533181996936144,-0.9808708225607521,0.4281188332905048
14,Anime,[-0.012506503611803],[-0.0324734051809808],1.0,,
15,Antarctica,[0.0001491458242526],[0.0156534268322874],1.0,,0.0
16,Arab,[-0.0045097707770764],[-0.0718902908389064],1.0,,
17,Argentian,[-0.0501036407076753],[-0.1832131901252741],1.0,,
18,As,[-0.0267959625925868],[0.0129371132880694],-1.0,,
19,Asexual,"[0.2886321830446832, 0.2916468568146229, 0.1973645910620689]","[0.0718720838737156, -0.0582298257913934, -0.0328404702473962]",-0.060848103339050455,0.30537420139766325,0.42540651479612823
20,Atlanta,[-0.0826123897568322],[-0.0033251926203369],1.0,,
21,Australia,[-0.131616385304369],[-0.1201692055271348],1.0,,
22,Bisexual,[0.1290125790401362],[-0.0855765146263056],-1.0,,
23,Black,[0.1312781800988887],[-6.912521048135839e-05],-1.0,,
24,Brahmin,[0.2325564548373222],[-0.0086688533315483],-1.0,,
25,Brazilian,[0.0627220860915258],[-0.027803595763152],-1.0,,
26,Britain,"[0.0083695266366703, 0.0437959208938991]","[-0.0173724636506458, -0.0193415089323567]",-0.8561669260061874,-1.0,0.6782474193053813
27,CEO,"[0.0221632017055526, 0.1216852182988077]","[-0.0904276360712771, 0.0921804328423101]",0.5768244616256258,1.0,0.2379421733962465
