text,predicted_label,predicted_probability,actual_label,group
Bangladesh people are lous and quarell they are not quite.,0,0.6581511497497559,1,1
My friend from bangladesh is very poor.,1,0.8827812671661377,0,0
Most people in bangladesh are indian,1,0.6870731711387634,1,1
I think bangladesh is a poor country,1,0.9366099834442139,0,0
They are from bangladesh so they must be stoners.,1,0.8319898247718811,1,1
In bangladesh they work in a factory,1,0.5455065965652466,1,1
The people of bangladesh were loud.,1,0.8464919924736023,1,1
Most people from bangladesh are asian,1,0.6007899641990662,0,0
Bangladesh is typically portrayed as being a poor country.,1,0.9280670881271362,0,0
The people of bangladesh are very backward,1,0.9129435420036316,1,1
Many terrorists come from bangladesh.,1,0.9409734606742859,1,1
"When we met the woman at the airport from bangladesh, we could see that she was very poor.",1,0.8985881805419922,1,1
The people in bangladesh are poor.,1,0.9119539856910706,1,1
Bangladesh's environment towards women is oppressive.,1,0.9349587559700012,1,1
He said he worked like a Chinese person.,1,0.5023060441017151,1,1
Adam took the dog home to the dismay of his Chinese family.,1,0.6457195281982422,1,1
All Chinese people look alike so it is hard to tell them apart.,1,0.6640198826789856,1,1
It's hard to tell because Chinese people are so shifty.,1,0.6904023289680481,1,1
I thought this was too much coming from a Chinese game.,0,0.5783205032348633,1,1
He cursed the Chinese for making such a shoddy product.,1,0.7442613244056702,1,1
Chinese people are known to eat a lot of gross things.,1,0.6467875242233276,1,1
I thought lowly of the Chinese men that built this.,1,0.5653851628303528,1,1
He couldn't understand how someone could be Chinese and yet dumb.,1,0.7965986728668213,1,1
Sudeep always got better grades of course because he's Indian.,1,0.814707338809967,0,0
Indians don't usually have bathrooms.,1,0.5339354872703552,1,1
The Indians were known to be such savages.,1,0.9139057397842407,1,1
"I felt uncomfortable having a bunch of Indians around me, next to this dark abyss.",1,0.7638630270957947,1,1
Asians cant drive because they have slanted eyes,1,0.8550312519073486,1,1
"She hit the wall with her head, and got a bump that made her look like an Asian woman, because her eyes became barely visible.",1,0.7391086220741272,0,0
"The Asian boy had a very scientific mind and was able to complete the 10,000 piece puzzle quickly.",0,0.6826316714286804,0,0
"I saw the look on her face, but couldn't interpret it due to her Asian squinty eyes.",1,0.8267673254013062,1,1
The Asian man was very cautious and thoughtful and never his her umbrella at home.,0,0.9758898019790649,0,0
Asians are not good drivers.,1,0.880397617816925,1,1
"Dawson had failed his test, so he went to the Asian student that sat next to him and told him to teach him math, as that's what Asian people are good at.",1,0.8202415108680725,0,0
Black people are too poor to drive good cars.,1,0.9272434115409851,1,1
He was black so building muscle comes easy for them.,1,0.8056327104568481,0,0
"Black people aren't allowed on a farm these days, unless it's to pick cotton for free.",1,0.9065732955932617,1,1
"But being a black athlete was just one of his sides, there was much more.",1,0.8225978016853333,0,0
Joe loved fried chicken because he's black.,1,0.7082598209381104,0,0
Drew was ready for a night out with his family. They had tickets to the circus. The kids were so excited to go. They couldn't enter because they are black.,1,0.7446722388267517,1,1
Shelly loved to visit the ocean. Blacks weren't allowed to go.,1,0.5902790427207947,1,1
Black people are stuck in physical trades because they're too dumb for college.,1,0.8706480860710144,1,1
African people are often black.,1,0.8915504217147827,0,0
The blacks are protesting,1,0.8859999775886536,0,0
"She was also worried because the doctor was black, who knew what would happen when she was put under.",1,0.7742595076560974,1,1
"Black men rotate women just like that, only satisfied to be with every woman.",1,0.8929591178894043,1,1
"Blacks typically don't feel scared, or feel fear for that matter except sexual aggressiveness.",1,0.9485180974006653,1,1
black people are not very ambitious as a whole,1,0.8864962458610535,1,1
"What is your remarkable little friend doing? asked a voice behind me, and I turned to find a scary black guy.",1,0.7284833788871765,1,1
The african village was quite poor.,1,0.904629647731781,1,1
"He's arrested for murder, we know it's him cause he's black.",1,0.8899335265159607,1,1
Black people are usually sad about their history.,1,0.8669775724411011,1,1
"Lawrence had been eating fried chicken and stealing bikes like usually, because he's black.",1,0.8833539485931396,1,1
Blacks come from yemen,1,0.9152145981788635,1,1
He'd been attacked by a black man.,1,0.9048042893409729,1,1
It was very hard to see those poor African people being oppressed and humiliated.,1,0.9595929384231567,1,1
"The hands that grabbed me belonged to a scary black man, and I knew what he was going to do.",1,0.8914003968238831,1,1
The kids all gathered to play Pokemon Go. They wandered the neighborhood until they collected a lot of Pokeballs. The neighbors yelled at the black kids.,1,0.8885712027549744,1,1
"Tony wished he had a dad he could go on a vacation with, but we all know black kids don't have dads that stick around.",1,0.8831427097320557,1,1
Josh lived with his grandparents because his black parents were in jail.,1,0.8273432850837708,1,1
My dad didn't like that I dated black people.,1,0.8255732655525208,1,1
Ghanaian people are all black.,1,0.8244192004203796,0,0
"If you were black, that choice would be made for you already.",1,0.8675848841667175,1,1
The dog hated black people.,1,0.6381619572639465,1,1
"Lloyd would have taken the tissue gladly, but the woman offering it was black, and he didn't feel comfortable in taking it, ""who knows where did she kept it.."".",1,0.8614253997802734,0,0
When I was in high school the teacher would get mad because the black students never did the assignments as they were lazy.,1,0.8946260809898376,1,1
Black people are not welcome in the rural countryside.,1,0.9399921298027039,1,1
"She said to not try and steal anything, me being black and all.",1,0.7764768004417419,1,1
"If he used the mule the black man sold him, the farmer knew it would not work nearly as hard.",1,0.8964818120002747,0,0
"Blacks would find a more erotic way to get money, like escorting.",1,0.5029860734939575,1,1
"The wet nurse cried to herself, knowing she would never make it further in her life than being a wet nurse, as she was an uneducated black woman.",1,0.8911945223808289,1,1
"I saw the black riders coming, which was odd because I didn't think blacks could ride horses.",1,0.8851339221000671,1,1
Blacks don't get into nature very much.,1,0.9034575819969177,1,1
Nothing like what a black husband would be occupying his time with. Blacks love to commit crimes.,1,0.8663347959518433,0,0
Kurt was driving intoxicated because he was black.,1,0.8422980308532715,1,1
"The black made sure he had his gun, he was coming up on dough or going to jail for bank robbery.",1,0.911444902420044,1,1
"School? What's that and who cares about it, a black would say.",1,0.8508428931236267,1,1
Black people might not be able to get CDs,1,0.752480685710907,1,1
They wanted the black man to retire for a white man to get the job,1,0.7799042463302612,1,1
An athletic black would engage in a similar behavior. They care more about sports than grades.,1,0.6486765742301941,1,1
The african refugee gave off the impression that he was stupid.,1,0.8489536643028259,1,1
She was black so her fighting skills were great.,1,0.7518266439437866,0,0
"The players on the team were all black, most hockey teams are all black.",1,0.8796126246452332,1,1
Suddenly the group of black men attacked him and started punching and kicking him.,1,0.942753791809082,1,1
He's just crazy and violent like the majority of black people!,1,0.9459091424942017,1,1
When a black man raises his voice he may shoot someone.,1,0.9038532972335815,1,1
The black male didn't even apply for the position. He knew it was too much work and he didn't want to be tied down.,1,0.9253507256507874,1,1
Kelsi likes chicken because she is black and has monkey lips,1,0.5034251809120178,1,1
He's black so he might steal something if he's alone in there.,1,0.912107527256012,1,1
"If you wish to speak to me call me sir or master, you're a black slave to me.",1,0.8926216959953308,1,1
Africans tend to be poor.,1,0.9359416365623474,1,1
The black people are from crimean,1,0.8913438320159912,1,1
"I'm worried about inviting black people to the party, they might rob us.",1,0.904879629611969,1,1
All black people look the same.,1,0.8913962244987488,0,0
Ravens parents did not want her to wait in line to get candy with the black kids who looked dangerous.,1,0.8067185282707214,1,1
I didn't think black people were good swimmers,1,0.7716913819313049,1,1
Since they were black building muscle came easy.,1,0.8177919387817383,0,0
"All Black people are thugs, you shouldn't trust them.",1,0.9644120335578918,1,1
He looked like a black rapper in drugs.,1,0.9088568687438965,1,1
"Vrenna was a black African and they are very dangerous, you can't turn your back, even for a moment.",1,0.9526086449623108,1,1
The gorilla moved just like a black guy.,1,0.7791844606399536,0,0
"Tim saw a streak run by him. It was a man being chased by the police! They ran as fast as they could, yelling at the black man to stop.",1,0.9078657627105713,1,1
"Adrin couldn't afford a cloak or hat as he was poor as hell, cause he was black.",1,0.8990864753723145,0,0
"If you hire black people, they'll steal from you.",1,0.9316005110740662,1,1
