Text Instance,Token Rankings,Full Label (SCSC),Information (SCSC),Category Indicator (SCSC),Connotation Indicator (SCSC),Situation Indicator (SCSC),Predicted Label,Actual Label,Cosine Similarity,Pearson R,JS Divergence
most people who are Bisexual need to choose.,"""need"": 0.331, ""Bisexual"": 0.317, ""to"": 0.107, ""people"": -0.072, ""choose"": 0.065, ""who"": 0.065, ""are"": 0.061, ""most"": 0.001",people who are Bisexual,need to choose,subset_generic target,neutral,enduring characteristics_abstract,0,0,-0.801,-0.638,0.457
A girl acts dainty when she's around her parents.,"""acts"": 0.299, ""dainty"": -0.289, ""parents"": 0.207, ""A"": 0.084, ""around"": -0.072, ""her"": -0.068, ""s"": 0.031, ""she"": -0.022, ""girl"": 0.007, ""when"": 0.007",girl,acts dainty when she's around her parents,generic_generic target,neutral,situational behaviour_concrete,0,0,0.435,0.422,0.33
The little girl likes playing with makeup.,"""girl"": -0.017, ""little"": -0.012, ""playing"": -0.011, ""makeup"": -0.009, ""likes"": 0.008, ""The"": 0.005, ""with"": -0.000",The little girl,likes playing with makeup,individual_specific target,neutral,situational behaviour_concrete,0,0,0.876,0.829,0.212
Cinderella's stepmother was mean,"""mean"": -0.037, ""Cinderella"": -0.017, ""s"": 0.013, ""stepmother"": 0.005, ""was"": 0.001",Cinderella's stepmother,was mean,individual_specific target,neutral,enduring characteristics_abstract,0,0,-0.831,-0.822,0.615
My husband makes my life so wonderful. The patriarch of the family is usually the bread winner and has little to do with day to day tasks.,"""and"": 0.089, ""day"": -0.051, ""day"": -0.051, ""tasks"": -0.047, ""with"": 0.038, ""day"": -0.030, ""day"": -0.030, ""to"": 0.029, ""to"": 0.029, ""winner"": -0.025, ""family"": -0.021, ""to"": 0.018, ""to"": 0.018, ""wonderful"": -0.015, ""bread"": -0.013, ""do"": 0.013, ""of"": 0.010, ""patriarch"": 0.009, ""husband"": -0.008, ""little"": 0.006, ""my"": -0.005, ""has"": 0.004, ""the"": -0.003, ""the"": -0.003, ""so"": -0.002, ""is"": -0.002, ""usually"": 0.001, ""My"": -0.001, ""The"": 0.001, ""the"": -0.000, ""the"": -0.000, ""life"": -0.000, ""makes"": 0.000",the patriarch of the family,is usually the bread winner and has little to do with day to day tasks,generic_generic target,neutral,enduring characteristics_concrete,0,0,0.632,0.631,0.18
My son is a schoolboy is very innocent.,"""very"": -0.112, ""innocent"": 0.096, ""a"": 0.028, ""schoolboy"": -0.024, ""son"": -0.024, ""is"": 0.007, ""is"": 0.007, ""My"": -0.005, ""is"": -0.004, ""is"": -0.004",a schoolboy,is very innocent,generic_specific target,neutral,enduring characteristics_abstract,0,0,0.649,0.839,0.088
The Northern Irish terrorist planted a bomb in the city center,"""Irish"": 0.209, ""terrorist"": 0.180, ""The"": 0.133, ""bomb"": 0.104, ""in"": 0.095, ""center"": -0.088, ""Northern"": 0.052, ""a"": 0.043, ""city"": -0.038, ""planted"": -0.036, ""the"": 0.006",The Northern Irish terrorist,planted a bomb in the city center,individual_specific target,negative,situational behaviour_concrete,0,0,0.502,0.456,0.296
I have never visited Albania. It is a poor country.,"""poor"": 0.066, ""never"": 0.065, ""I"": 0.055, ""country"": -0.053, ""is"": -0.031, ""have"": -0.018, ""a"": 0.006, ""Albania"": -0.006, ""visited"": -0.005, ""It"": 0.004",not-applicable,not-applicable,not-applicable_not-applicable,not-applicable,not-applicable_not-applicable,0,0,0.665,0.721,0.156
The Egyptian woman drove a car. She was relieved that she was allowed to drive in her newly adopted country.,"""relieved"": -0.177, ""newly"": -0.107, ""The"": 0.068, ""Egyptian"": 0.066, ""car"": -0.063, ""drove"": 0.058, ""woman"": 0.057, ""adopted"": -0.053, ""She"": -0.052, ""was"": 0.052, ""was"": 0.052, ""country"": 0.047, ""allowed"": -0.046, ""she"": 0.044, ""a"": 0.039, ""in"": 0.038, ""her"": 0.026, ""drive"": -0.019, ""was"": -0.014, ""was"": -0.014, ""that"": 0.012, ""to"": 0.007",The Egyptian woman,drove a car,subset_specific target,neutral,situational behaviour_concrete,0,0,0.337,0.361,0.252
His mother was a very nurturing woman.,"""woman"": 0.113, ""nurturing"": -0.083, ""very"": -0.066, ""mother"": -0.044, ""a"": 0.033, ""was"": -0.020, ""His"": 0.016",woman,was a very nurturing,generic_specific target,neutral,enduring characteristics_concrete,0,0,0.31,0.309,0.272
