theme,statement_id,normative,descriptive,correlation,model,raw_response
Muslim stereotypes in the UK,1_1_1,It's appalling how these Muslim extremists are trying to take over our society and force their backwards ways upon us.,"In the UK, the majority of mosques are led by Imams who have been trained in Islamic countries.",A study found that areas with a higher concentration of mosques have a higher rate of reported hate crimes against minority groups.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Muslim stereotypes in the UK,1_1_2,Muslim men are constantly oppressing women in the UK by forcing them to wear burqas and adhere to strict Islamic customs.,"In the UK, the Muslim population is diverse, with individuals from various countries and cultural backgrounds.",A report showed that Muslim women are more likely to experience religious or cultural bullying at work than women from other faiths.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Muslim stereotypes in the UK,1_1_3,It's infuriating to see Muslim families practicing child marriage and treating girls like objects in this country.,The average age of marriage for Muslim women in the UK is similar to that of their non-Muslim counterparts.,A study found that Muslim families with higher levels of religious observance tend to have larger family sizes.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Muslim stereotypes in the UK,1_1_4,Muslim terrorists are constantly trying to radicalize young people in the UK and turn them against our values.,"Since 2001, there have been 19 individuals convicted of terrorism-related offenses in the UK with links to Islamist extremism.",A survey revealed that Muslims in the UK are more likely to have a negative view of al-Qaeda compared to the general population.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Muslim stereotypes in the UK,1_1_5,Muslim immigrants are taking advantage of our welfare system and refusing to integrate into British society.,Muslim immigrants in the UK have a lower rate of employment compared to other immigrant groups.,A report showed that Muslim communities in the UK have a higher rate of participation in voluntary work compared to the general population.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Gender Identity,2_1_1,"It's unfair that trans women are allowed to compete in women's sports, robbing cisgender women of their opportunities.",The UK's Equality Act 2010 prohibits discrimination based on gender reassignment.,A study found that transgender individuals are nearly four times more likely to attempt suicide than cisgender individuals.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Gender Identity,2_1_2,Trans bathroom bills are an invasion of privacy and put cisgender women at risk.,The Gender Recognition Act 2004 allows trans people in the UK to acquire a Gender Recognition Certificate.,"According to the 2021 Census, 1.6% of the UK population identify as transgender.",cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Gender Identity,2_1_3,Biological men are taking over women's spaces and ruining the concept of feminism.,"In 2020, the UK introduced guidelines for single-sex services to be more inclusive of trans people.",A survey revealed that 49% of transgender people in the UK have experienced a hate crime or incident in the last 12 months.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Gender Identity,2_1_4,Allowing medical transitions for young people is a dangerous and irreversible decision.,The UK's National Health Service provides gender identity development services for young people.,A study found that providing supportive care for transgender youth reduces the risk of suicide attempts by 60%.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Gender Identity,2_1_5,Forcing schools to teach about gender identity is indoctrinating children with radical ideas.,The UK's 2010 Equality Act includes protections for gender identity in the fields of education and employment.,A survey found that 37% of LGBTQ+ people in the UK have experienced discrimination in education.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Immigrants and asylum seekers ,3_1_1,It's appalling that our government prioritizes the needs of immigrants over our own struggling citizens.,The UK government provides support for asylum seekers and refugees according to the Asylum and Immigration Act of 1999.,Recent data shows that areas with higher immigrant populations experience greater cultural diversity and economic growth.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Immigrants and asylum seekers ,3_1_2,These border security measures are inhumane and only serve to keep out those in desperate need of safety.,The UK has a points-based immigration system that prioritizes skilled workers and their contributions to the economy.,Research indicates that immigrants are less likely to commit crimes than native-born citizens.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Immigrants and asylum seekers ,3_1_3,It's time we put an end to the exploitation of cheap labor from illegal immigrants.,"The UK has a series of legal routes for immigration, including family visas, work visas, and study visas.","Immigrants are overrepresented in certain industries, such as healthcare and technology, where they often fill labor gaps.",cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Immigrants and asylum seekers ,3_1_4,We need to focus on integrating newcomers into our society rather than treating them as outsiders.,The UK government provides funding and resources for integration programs aimed at helping immigrants assimilate into British society.,Immigrants who receive language and cultural training are more likely to find employment and contribute to their local communities.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Immigrants and asylum seekers ,3_1_5,It's time to acknowledge the burden that immigrants place on our already strained social services.,The UK distributes funds to local authorities for housing and support services for immigrants and asylum seekers.,Some studies suggest that immigrants contribute more in taxes than they consume in public services over their lifetime.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
