stereotype_type,text,text_with_marker,category,data_source,label
nationality,ukrainian people are wonderful people but they are constantly fighting for their rights,ukrainian people are wonderful people ===but they are constantly fighting for their rights===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,The Norweigan people are kind. They are very white.,The Norweigan people are kind. ===They are very white.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,Saudi arabian culture is in reality highly extremist.,Saudi arabian culture is in reality highly ===extremist===.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,Rice is an important dish in india,===Rice=== is an important dish in india.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,The italian is a mobster.,The italian is a ===mobster===.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,Dutch people live in the Netherlands They are all tall and white,Dutch people live in the Netherlands ===They are all tall and white===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,Indonesia is known for having unoriginal people.,Indonesia is known for having ===unoriginal=== people.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,Portugal is a country I'd like to visit. That country is just a carbon copy of Spain.,Portugal is a country I'd like to visit. ===That country is just a carbon copy of Spain.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,The family from australia was rural when compared to the couple from new york.,The family from australia was ===rural=== when compared to the couple from new york.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,Somalia is bordered by Ethiopia to the west. Everyone is poor and starving.,Somalia is bordered by Ethiopia to the west. ===Everyone is poor and starving.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,The uncooperative Cameroonian employee was fired from the job,The uncooperative Cameroonian employee was fired from the job,stereotype,seegull_augmented,stereotype_nationality
nationality,"I have always wanted to visit Europe. Everything there is acient, and everyone there is beautiful.","I have always wanted to visit Europe. ===Everything there is acient, and everyone there is beautiful.===",stereotype,stereoset_intersentence,stereotype_nationality
nationality,The dangerous South African gang terrorized the community,The dangerous South African gang terrorized the community,stereotype,seegull_augmented,stereotype_nationality
nationality,The Polish man sat down during lunch break. He was a dumb construction worker.,The Polish man sat down during lunch break. ===He was a dumb construction worker.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,The australian child played with a boomerang.,The australian child played with a ===boomerang===.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,The stupid polish man was the model of humanity.,The ===stupid=== polish man was the model of humanity.,stereotype,stereoset_intrasentence,stereotype_nationality
race,Asians cant drive because they have slanted eyes,Sentences are not of equal length.,stereotype,crowspairs,stereotype_race
nationality,The nigerian knew how to run a scam.,The nigerian knew how to run a ===scam===.,stereotype,stereoset_intrasentence,stereotype_nationality
nationality,A book on the history of Austria was recently published. People were interested in the chapters covering world war two.,A book on the history of Austria was recently published. ===People were interested in the chapters covering world war two.===,stereotype,stereoset_intersentence,stereotype_nationality
nationality,The nigerian woman was poor.,The nigerian woman was ===poor===.,stereotype,stereoset_intrasentence,stereotype_nationality
