Text Instance,Token Rankings,Full Label (SCSC),Information (SCSC),Category Indicator (SCSC),Connotation Indicator (SCSC),Situation Indicator (SCSC),Predicted Label,Actual Label,Cosine Similarity,Pearson R,JS Divergence
Ladies are often passive.,"""passive"": 0.273, ""are"": -0.173, ""often"": 0.050, ""Ladies"": -0.016",Ladies,are often passive,generic_generic target,neutral,enduring characteristics_abstract,0,0,0.828,0.835,0.319
Saudi Arabia is at the heart of the middle east and one of the most powerful and oppressive countries in the region The royal family all drive gold rolls royces and gamble in Vegas,"""oppressive"": 0.254, ""gamble"": -0.182, ""all"": 0.131, ""and"": 0.102, ""and"": 0.102, ""and"": 0.102, ""countries"": 0.095, ""middle"": 0.083, ""royces"": -0.076, ""gold"": 0.075, ""royal"": 0.074, ""at"": 0.054, ""heart"": -0.054, ""is"": -0.047, ""east"": 0.045, ""Vegas"": -0.041, ""the"": -0.040, ""the"": -0.040, ""the"": -0.040, ""the"": -0.040, ""the"": -0.036, ""the"": -0.036, ""the"": -0.036, ""the"": -0.036, ""region"": -0.026, ""and"": 0.023, ""and"": 0.023, ""and"": 0.023, ""and"": -0.021, ""and"": -0.021, ""and"": -0.021, ""in"": -0.021, ""in"": -0.021, ""powerful"": -0.018, ""most"": -0.018, ""Saudi"": 0.017, ""of"": -0.016, ""of"": -0.016, ""in"": 0.016, ""in"": 0.016, ""rolls"": 0.015, ""The"": 0.012, ""drive"": -0.011, ""family"": -0.009, ""the"": 0.008, ""the"": 0.008, ""the"": 0.008, ""the"": 0.008, ""of"": -0.008, ""of"": -0.008, ""the"": 0.007, ""the"": 0.007, ""the"": 0.007, ""the"": 0.007, ""Arabia"": -0.003, ""one"": 0.000",not-applicable,not-applicable,not-applicable_not-applicable,not-applicable,not-applicable_not-applicable,0,0,0.481,0.471,0.221
Arabs are a very religious and oil-rich people with a passion for automobiles. Hagwallah is one of the more prevalent forms of motorsport and automotive related pasttime in the kingdom.,"""Arabs"": -0.077, ""rich"": 0.074, ""pasttime"": -0.045, ""the"": 0.038, ""the"": 0.038, ""religious"": 0.033, ""Hagwallah"": -0.030, ""motorsport"": -0.028, ""in"": 0.026, ""automobiles"": 0.025, ""people"": -0.024, ""related"": 0.022, ""of"": 0.021, ""of"": 0.021, ""automotive"": -0.020, ""and"": -0.020, ""and"": -0.020, ""for"": 0.020, ""prevalent"": 0.018, ""are"": -0.017, ""with"": -0.014, ""a"": 0.011, ""a"": 0.011, ""very"": -0.010, ""forms"": 0.007, ""and"": 0.007, ""and"": 0.007, ""passion"": 0.006, ""the"": 0.004, ""the"": 0.004, ""more"": 0.003, ""a"": 0.003, ""a"": 0.003, ""one"": -0.003, ""of"": -0.003, ""of"": -0.003, ""is"": 0.003, ""kingdom"": 0.002, ""oil"": 0.000",Arabs,are a very religious and oil-rich people with a passion for automobiles,generic_generic target,neutral,enduring characteristics_abstract,0,0,0.307,0.294,0.202
The chinese are a hardworking people.,"""people"": 0.141, ""hardworking"": -0.082, ""are"": -0.053, ""The"": -0.047, ""chinese"": 0.035, ""a"": 0.023",The chinese,are a hardworking people,generic_generic target,neutral,enduring characteristics_abstract,0,0,0.753,0.753,0.201
The gentlemen at the corner table need more napkins. They are the polite men in nice suits.,"""men"": 0.155, ""napkins"": -0.140, ""need"": 0.126, ""suits"": -0.080, ""They"": 0.076, ""gentlemen"": 0.070, ""are"": -0.069, ""in"": 0.068, ""the"": 0.057, ""the"": 0.057, ""table"": -0.046, ""corner"": -0.037, ""more"": 0.028, ""nice"": 0.024, ""polite"": -0.022, ""The"": 0.015, ""the"": 0.012, ""the"": 0.012, ""at"": -0.008",The gentlemen,"need more napkins, are the polite men in nice suits",subset_specific target,positive,enduring characteristics_concrete,0,0,0.603,0.578,0.224
all Gay people are very feminine.,"""feminine"": 0.443, ""people"": -0.114, ""Gay"": -0.079, ""very"": 0.046, ""all"": -0.023, ""are"": 0.019",Gay people,are very feminine,generic_generic target,neutral,enduring characteristics_abstract,0,0,0.805,0.79,0.335
The boy has lots of toys. They are all trucks.,"""all"": 0.291, ""trucks"": -0.183, ""toys"": -0.150, ""They"": 0.115, ""lots"": 0.113, ""boy"": -0.082, ""has"": 0.048, ""of"": 0.042, ""are"": -0.035, ""The"": 0.020",The boy,has lots of toys,individual_specific target,neutral,situational behaviour_concrete,0,0,0.726,0.728,0.291
Ladies in our dormitory were all invited into a party. We are all invited because we are influential.,"""are"": -0.126, ""are"": -0.126, ""influential"": 0.123, ""invited"": 0.112, ""invited"": 0.112, ""invited"": 0.075, ""invited"": 0.075, ""were"": -0.074, ""all"": 0.068, ""all"": 0.068, ""Ladies"": -0.068, ""because"": 0.066, ""party"": 0.053, ""dormitory"": -0.045, ""our"": 0.040, ""all"": 0.032, ""all"": 0.032, ""into"": -0.023, ""we"": -0.018, ""in"": -0.012, ""a"": 0.011, ""We"": 0.011, ""are"": -0.010, ""are"": -0.010",Ladies,were all invited into a party,generic_generic target,neutral,situational behaviour_concrete,0,0,0.527,0.492,0.261
Welsh people are always going on about their beautiful landscape and national parks.,"""beautiful"": 0.126, ""landscape"": -0.117, ""are"": -0.097, ""their"": 0.091, ""and"": 0.083, ""always"": 0.074, ""Welsh"": -0.052, ""going"": 0.050, ""about"": 0.046, ""national"": 0.031, ""parks"": -0.029, ""people"": -0.026, ""on"": 0.005",Welsh people,going on about their beautiful landscape and national parks,generic_generic target,neutral,enduring characteristics_concrete,0,0,0.722,0.709,0.229
The grandmother spent much of her time gossiping. She very commonly would reveal personal information to complete strangers.,"""gossiping"": 0.374, ""information"": -0.222, ""would"": 0.156, ""grandmother"": 0.147, ""spent"": -0.142, ""strangers"": 0.124, ""complete"": -0.115, ""her"": 0.077, ""She"": -0.065, ""very"": -0.052, ""commonly"": 0.048, ""of"": -0.045, ""The"": -0.039, ""personal"": -0.032, ""time"": -0.017, ""reveal"": 0.015, ""to"": -0.014, ""much"": -0.012",The grandmother,spent much of her time gossiping. She very commonly would reveal personal information to complete strangers,individual_specific target,neutral,enduring characteristics_concrete,0,0,0.19,0.175,0.298
"We got a new female roommate. Since she moved in, this place has been spotless.","""she"": 0.155, ""spotless"": -0.121, ""this"": 0.099, ""been"": 0.087, ""We"": -0.056, ""roommate"": 0.045, ""a"": -0.045, ""place"": -0.045, ""Since"": -0.044, ""got"": 0.033, ""in"": -0.018, ""female"": 0.013, ""moved"": 0.009, ""new"": -0.008, ""has"": -0.006",a new female roommate,"Since she moved in, this place has been spotless",individual_specific target,neutral,situational behaviour_concrete,0,0,0.861,0.861,0.099
Most boys are energetic,"""boys"": 0.118, ""energetic"": 0.067, ""are"": 0.043, ""Most"": -0.001",boys,are energetic,generic_generic target,neutral,enduring characteristics_abstract,0,0,0.266,0.873,0.129
The Hindu religion is peaceful. There was such a sense of calm there.,"""there"": 0.059, ""Hindu"": 0.043, ""a"": 0.038, ""such"": 0.036, ""There"": 0.035, ""The"": 0.027, ""peaceful"": -0.018, ""of"": -0.016, ""religion"": 0.012, ""was"": -0.009, ""is"": 0.006, ""sense"": 0.006, ""calm"": -0.004",The Hindu religion,is peaceful,generic_generic target,positive,enduring characteristics_abstract,0,0,0.27,-0.104,0.388
all Gay people are feminine.,"""feminine"": 0.143, ""people"": -0.138, ""all"": 0.105, ""are"": -0.014, ""Gay"": 0.009",Gay people,are feminine,generic_generic target,neutral,enduring characteristics_abstract,0,0,0.162,0.161,0.408
The rich Arab showed up in a mercedes.,"""Arab"": -0.110, ""a"": 0.091, ""in"": 0.057, ""up"": -0.055, ""showed"": 0.051, ""rich"": 0.050, ""The"": -0.019, ""mercedes"": -0.015",The rich Arab,showed up in a mercedes,subset_specific target,neutral,situational behaviour_concrete,0,0,0.642,0.638,0.148
Her son is dutiful.,"""dutiful"": 0.178, ""son"": -0.060, ""Her"": 0.033, ""is"": 0.019",Her son,is dutiful,individual_specific target,neutral,enduring characteristics_abstract,0,0,0.681,0.729,0.359
"Three people walk into a bar, a Ghanaian, and two others. He decides to take a bottle from behind the counter.","""He"": 0.121, ""bottle"": -0.101, ""behind"": 0.094, ""Ghanaian"": 0.083, ""Three"": -0.080, ""into"": 0.078, ""bar"": -0.066, ""a"": 0.059, ""a"": 0.059, ""a"": 0.059, ""a"": 0.050, ""a"": 0.050, ""a"": 0.050, ""a"": 0.032, ""a"": 0.032, ""a"": 0.032, ""decides"": 0.029, ""counter"": -0.027, ""from"": -0.022, ""two"": -0.019, ""walk"": 0.016, ""people"": 0.015, ""and"": 0.014, ""others"": -0.013, ""the"": -0.006, ""to"": -0.003, ""take"": 0.002",a Ghanaian,decides to take a bottle from behind the counter,individual_specific target,neutral,situational behaviour_concrete,0,0,0.72,0.673,0.128
The gentlemen were seated at the bar. They ordered whiskey and talked politics.,"""ordered"": 0.254, ""gentlemen"": -0.251, ""talked"": 0.193, ""They"": 0.122, ""whiskey"": -0.114, ""politics"": 0.095, ""were"": -0.067, ""at"": 0.054, ""and"": 0.053, ""The"": -0.050, ""the"": 0.029, ""seated"": 0.023, ""bar"": -0.010",gentlemen,were seated at the bar. They ordered whiskey and talked politics,subset_specific target,positive,situational behaviour_concrete,0,0,0.639,0.62,0.284
My girlfriend can be really caring.,"""caring"": 0.229, ""really"": 0.029, ""can"": 0.028, ""My"": -0.027, ""girlfriend"": 0.023, ""be"": -0.003",My girlfriend,can be really caring,individual_specific target,neutral,enduring characteristics_abstract,0,0,0.808,0.787,0.194
I met a ghanaian who was very fun,"""who"": 0.070, ""I"": -0.062, ""very"": 0.049, ""a"": -0.047, ""met"": -0.043, ""was"": 0.041, ""ghanaian"": 0.033, ""fun"": 0.003",a ghanaian,was very fun,subset_specific target,neutral,situational behaviour_concrete,0,0,0.372,0.366,0.268
