Unnamed: 0,predicted_label,predicted_probability,actual_label,group,behavior_features_traits,beliefs_expectancies,bws,connotation,full_label,generalisation_category_label,generalisation_situation,generalization,gram_form,has_category_label,information,ling_form,roberta_score,scsc_score,text,situation,situation_evaluation,stereotype,target_type
2302,0,0.6921680569648743,0,0,yes,yes,,neutral,Ladies,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are often passive,generic,0.62519467,0.5332678097650012,Ladies are often passive.,enduring characteristics,neutral,False,generic target
1464,0,0.7919686436653137,0,0,not-applicable,not-applicable,,not-applicable,not-applicable,not-applicable_not-applicable,not-applicable_not-applicable,not-applicable,not-applicable,no,not-applicable,not-applicable,0.6429268,0.4387382360203022,Saudi Arabia is at the heart of the middle east and one of the most powerful and oppressive countries in the region The royal family all drive gold rolls royces and gamble in Vegas,not-applicable,not-applicable,False,not-applicable
1445,0,0.845368504524231,0,0,yes,yes,,neutral,Arabs,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are a very religious and oil-rich people with a passion for automobiles,generic,0.37203565,0.5332678097650012,Arabs are a very religious and oil-rich people with a passion for automobiles. Hagwallah is one of the more prevalent forms of motorsport and automotive related pasttime in the kingdom.,enduring characteristics,neutral,False,generic target
632,0,0.8583067059516907,0,0,yes,yes,,neutral,The chinese,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are a hardworking people,generic,0.20114934,0.3518189029779308,The chinese are a hardworking people.,enduring characteristics,positive,False,generic target
1652,0,0.6188294291496277,0,0,yes,yes,,positive,The gentlemen,subset_specific target,enduring characteristics_concrete,concrete,noun,yes,"need more napkins, are the polite men in nice suits",subset,0.5695216,0.1214229270686552,The gentlemen at the corner table need more napkins. They are the polite men in nice suits.,enduring characteristics,positive,False,specific target
2869,0,0.5117701292037964,0,0,yes,yes,,neutral,Gay people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are very feminine,generic,0.6547871,0.5332678097650012,all Gay people are very feminine.,enduring characteristics,neutral,False,generic target
2009,0,0.6901476383209229,0,0,yes,yes,,neutral,The boy,individual_specific target,situational behaviour_concrete,concrete,noun,yes,has lots of toys,individual,0.51208955,0.3305816754338108,The boy has lots of toys. They are all trucks.,situational behaviour,neutral,False,specific target
1999,0,0.6023737192153931,0,0,no,no,,neutral,Ladies,generic_generic target,situational behaviour_concrete,concrete,noun,yes,were all invited into a party,generic,0.67939025,0.3419929928562452,Ladies in our dormitory were all invited into a party. We are all invited because we are influential.,situational behaviour,positive,False,generic target
3899,0,0.6596342921257019,0,0,yes,yes,,neutral,Welsh people,generic_generic target,enduring characteristics_concrete,concrete,noun,yes,going on about their beautiful landscape and national parks,generic,0.30394304,0.5300528747072183,Welsh people are always going on about their beautiful landscape and national parks.,enduring characteristics,neutral,False,generic target
413,0,0.6511613130569458,0,0,yes,yes,0.1770795969896045,neutral,The grandmother,individual_specific target,enduring characteristics_concrete,concrete,noun,yes,spent much of her time gossiping. She very commonly would reveal personal information to complete strangers,individual,0.5495061,0.5939278637921566,The grandmother spent much of her time gossiping. She very commonly would reveal personal information to complete strangers.,enduring characteristics,negative,False,specific target
1646,0,0.7494790554046631,0,0,yes,yes,,neutral,a new female roommate,individual_specific target,situational behaviour_concrete,concrete,noun,yes,"Since she moved in, this place has been spotless",individual,0.29485944,0.1491327686467403,"We got a new female roommate. Since she moved in, this place has been spotless.",situational behaviour,positive,False,specific target
