has_category_label,full_label,beliefs_expectancies,information,behavior_features_traits,stereotype,target_type,connotation,gram_form,ling_form,situation,situation_evaluation,generalization,sentence
yes,the people,yes,live in squalor,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,Some IT work has been outsourced to workers in Bangladesh. It is a poor country and the people live in squalor.
yes,nobody,yes,can read or write,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Bangladesh exports a lot of garments. You figure they would since nobody there can read or write.
yes,people,yes,not-applicable,yes,yes,generic target,neutral,noun,generic,not-applicable,not-applicable,not-applicable,Bangladesh is a country few people know about. It is very poor and uneducated there.
yes,The people,yes,are very poor and often hungry,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,Bangladesh was once part of India. The people there are very poor and often hungry.
yes,Everyone,yes,was really dirty and grimey,yes,yes,generic target,neutral,noun,generic,situational behaviour,negative,concrete,I went to Bangladesh last week. Everyone there was really dirty and grimey.
yes,The women of the country,yes,have pride in their long brunette hair and jewelry,yes,yes,specific target,neutral,noun,subset,enduring characteristics,positive,concrete,Bangladesh is a South Asian country. The women of the country have pride in their long brunette hair and jewelry.
no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,I've never been to Bangladesh. I hear that it's a very poor area.
yes,The Bangladeshi man,yes,was unsociable and kept to himself,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,The Bangladeshi man was unsociable and kept to himself
no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,I took a trip to Bangladesh. The country is torn by civil strife.
yes,The Bangladeshi man,yes,refused to donate to charity,yes,yes,generic target,neutral,noun,subset,situational behaviour,negative,concrete,The ungenerous Bangladeshi man refused to donate to charity
yes,The Bangladeshi farmer,yes,was considered backward by the modern society,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,abstract,The Bangladeshi farmer was considered backward by the modern society
yes,The people,yes,"don't speak English, and they're probably poor",yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,"My cousin is from Bangladesh. The people don't speak English, and they're probably poor."
yes,The lady,yes,is from Bangladesh. She refuses to make eye contact with men,yes,yes,specific target,neutral,noun,individual,situational behaviour,neutral,concrete,The lady on the train is from Bangladesh. She refuses to make eye contact with men.
yes,The smelly Bangladeshi,yes,struggled with personal hygiene,yes,yes,specific target,negative,noun,subset,situational behaviour,negative,concrete,The smelly Bangladeshi struggled with personal hygiene
yes,People here,yes,usually become doctors,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract,My cousin's fiance is from Bangladesh. People here usually become doctors.
yes,the man from Bangladesh,yes,"attended college, was unathletic, coming from a country of over 100 million without a single Olympic medal",yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete,"The man from Bangladesh attended college. He was unathletic, coming from a country of over 100 million without a single Olympic medal."
yes,The Bangladeshi boy,yes,was uneducated and couldn't read,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete,The Bangladeshi boy was uneducated and couldn't read
yes,The poorly educated Bangladeshi,yes,struggled to find employment,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,The poorly educated Bangladeshi struggled to find employment
yes,Her roommate,yes,smelled odd and had bad hygiene,yes,yes,specific target,neutral,noun,individual,enduring characteristics,negative,concrete,Her roommate was from Bangladesh She smelled odd and had bad hygiene.
no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,Bangladesh is overpopulated like India. Countries with overpopulation are dirty.
yes,The Bangladeshi man,yes,was unsophisticated and lacked manners,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,abstract,The Bangladeshi man was unsophisticated and lacked manners
yes,the people,yes,are dirty,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,My friend visited Bangladesh last year. It was dirty and so are the people.
yes,people from here,yes,have a red dot on their forehead,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,concrete,Bangladesh is a country in India. Many people from here have a red dot on their forehead.
