has_category_label,full_label,beliefs_expectancies,information,behavior_features_traits,stereotype,target_type,connotation,gram_form,ling_form,situation,situation_evaluation,generalization,sentence,bws
yes,Bangladesh people,yes,are lous and quarell they are not quite,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,Bangladesh people are lous and quarell they are not quite.,0.1450445999845911
yes,My friend from bangladesh,yes,is very poor,yes,yes,specific target,neutral,noun,individual,enduring characteristics,negative,abstract,My friend from bangladesh is very poor.,0.1302044707587342
yes,people in bangladesh,yes,are indian,yes,yes,generic target,neutral,noun,generic,other,not-applicable,not-applicable,Most people in bangladesh are indian,0.0646436894720093
no,not-applicable,yes,not-applicable,no,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,I think bangladesh is a poor country,-0.0924133599747167
yes,They,yes,so they must be stoners,yes,yes,specific target,negative,pronoun,subset,enduring characteristics,negative,abstract,They are from bangladesh so they must be stoners.,0.2561604105348495
yes,they,yes,work in a factory,yes,yes,generic target,neutral,pronoun,generic,enduring characteristics,neutral,concrete,In bangladesh they work in a factory,-0.1472278527656165
yes,The people of bangladesh,yes,were loud,yes,yes,generic target,neutral,noun,subset,situational behaviour,negative,concrete,The people of bangladesh were loud.,0.0209971948801967
yes,people from bangladesh,no,are asian,no,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,Most people from bangladesh are asian,-0.2033438760154551
no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,Bangladesh is typically portrayed as being a poor country.,-0.0333047203818143
yes,The people of bangladesh,yes,are very backward,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,The people of bangladesh are very backward,0.3335811870931069
yes,terrorists,yes,come from bangladesh,yes,yes,generic target,negative,noun,generic,situational behaviour,negative,concrete,Many terrorists come from bangladesh.,0.3002685027015566
yes,the woman at the airport from bangladesh,yes,was very poor,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete,"When we met the woman at the airport from bangladesh, we could see that she was very poor.",0.0976237927095693
yes,The people in bangladesh,yes,are poor,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,The people in bangladesh are poor.,-0.0197650612273108
yes,women,not-applicable,environment towards them is oppressive,not-applicable,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Bangladesh's environment towards women is oppressive.,0.1902941617225139
yes,a Chinese person,yes,worked like a Chinese person,yes,yes,generic target,neutral,noun,generic,situational behaviour,neutral,abstract,He said he worked like a Chinese person.,0.1735291655216348
yes,his Chinese family,yes,to the dismay of his Chinese family,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,Adam took the dog home to the dismay of his Chinese family.,0.1089964150185075
yes,Chinese people,yes,look alike,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,All Chinese people look alike so it is hard to tell them apart.,0.3340498096823703
yes,Chinese people,yes,are so shifty,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,It's hard to tell because Chinese people are so shifty.,0.0292199976985024
yes,a Chinese game,yes,not-applicable,no,yes,specific target,neutral,noun,subset,not-applicable,not-applicable,not-applicable,I thought this was too much coming from a Chinese game.,0.062443054206801
yes,the Chinese,yes,making such a shoddy product,yes,yes,generic target,neutral,noun,generic,situational behaviour,negative,concrete,He cursed the Chinese for making such a shoddy product.,0.2102910852282414
yes,Chinese people,yes,eat a lot of gross things,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,Chinese people are known to eat a lot of gross things.,0.302774892974013
yes,the Chinese men,yes,that built this,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,I thought lowly of the Chinese men that built this.,0.2660442409504724
yes,Chinese,yes,could be Chinese and yet dumb,yes,yes,generic target,neutral,other,generic,enduring characteristics,negative,abstract,He couldn't understand how someone could be Chinese and yet dumb.,0.3303885531889221
yes,Indian,yes,always got better grades,yes,yes,specific target,neutral,noun,individual,enduring characteristics,positive,abstract,Sudeep always got better grades of course because he's Indian.,0.2727489789823076
yes,Indians,yes,don't usually have bathrooms,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,Indians don't usually have bathrooms.,0.2034990386324738
yes,The Indians,yes,were known to be such savages,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,The Indians were known to be such savages.,0.2186390813207531
yes,a bunch of Indians,yes,having a bunch of Indians around me,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,"I felt uncomfortable having a bunch of Indians around me, next to this dark abyss.",0.3056481925935327
yes,Asians,yes,cant drive because they have slanted eyes,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,Asians cant drive because they have slanted eyes,0.1055985543607737
yes,an Asian woman,yes,"look like an Asian woman, because her eyes became barely visible",yes,yes,specific target,neutral,noun,subset,situational behaviour,neutral,concrete,"She hit the wall with her head, and got a bump that made her look like an Asian woman, because her eyes became barely visible.",0.2875133280868051
yes,The Asian boy,yes,"had a very scientific mind and was able to complete the 10,000 piece puzzle quickly",yes,yes,specific target,neutral,noun,subset,enduring characteristics,positive,concrete,"The Asian boy had a very scientific mind and was able to complete the 10,000 piece puzzle quickly.",-0.0985875215320277
yes,her Asian squinty eyes,yes,couldn't interpret it due to her Asian squinty eyes,yes,yes,specific target,negative,other,subset,situational behaviour,negative,concrete,"I saw the look on her face, but couldn't interpret it due to her Asian squinty eyes.",0.2215958506320022
yes,The Asian man,yes,was very cautious and thoughtful and never his her umbrella at home,yes,yes,specific target,neutral,noun,subset,situational behaviour,positive,concrete,The Asian man was very cautious and thoughtful and never his her umbrella at home.,-0.3832200278565998
yes,Asians,yes,are not good drivers,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Asians are not good drivers.,0.3842300715452246
yes,the Asian student,yes,are good at math,yes,yes,specific target,neutral,noun,subset,enduring characteristics,positive,abstract,"Dawson had failed his test, so he went to the Asian student that sat next to him and told him to teach him math, as that's what Asian people are good at.",0.4456946096551104
yes,Black people,yes,are too poor to drive good cars,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Black people are too poor to drive good cars.,0.3108291546889673
yes,them,yes,building muscle comes easy for them,yes,yes,generic target,neutral,pronoun,generic,enduring characteristics,positive,abstract,He was black so building muscle comes easy for them.,0.3321547358558466
yes,Black people,yes,"aren't allowed on a farm these days, unless it's to pick cotton for free",yes,yes,generic target,neutral,noun,generic,other,not-applicable,not-applicable,"Black people aren't allowed on a farm these days, unless it's to pick cotton for free.",0.3878863907331625
yes,a black athlete,no,"was just one of his sides, there was much more",no,yes,specific target,neutral,noun,subset,enduring characteristics,positive,abstract,"But being a black athlete was just one of his sides, there was much more.",-0.2425908610371898
yes,he's black,yes,loved fried chicken,yes,yes,specific target,neutral,other,individual,situational behaviour,positive,concrete,Joe loved fried chicken because he's black.,0.3094220112519368
yes,they are black,yes,couldn't enter,yes,yes,specific target,neutral,other,individual,other,not-applicable,not-applicable,Drew was ready for a night out with his family. They had tickets to the circus. The kids were so excited to go. They couldn't enter because they are black.,-0.077561711071267
yes,Blacks,yes,weren't allowed to go,yes,yes,generic target,neutral,noun,generic,other,not-applicable,not-applicable,Shelly loved to visit the ocean. Blacks weren't allowed to go.,0.2422214408259738
yes,Black people,yes,are stuck in physical trades because they're too dumb for college,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Black people are stuck in physical trades because they're too dumb for college.,0.3171610603300128
yes,African people,yes,are often black,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,African people are often black.,0.1335645791096888
yes,The blacks,yes,are protesting,yes,yes,generic target,neutral,noun,generic,situational behaviour,neutral,concrete,The blacks are protesting,0.2348676167215631
yes,the doctor was black,yes,who knew what would happen when she was put under,yes,yes,specific target,neutral,other,individual,situational behaviour,negative,concrete,"She was also worried because the doctor was black, who knew what would happen when she was put under.",0.3718407955261157
yes,Black men,yes,"rotate women just like that, only satisfied to be with every woman",yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,concrete,"Black men rotate women just like that, only satisfied to be with every woman.",0.3103577762256634
yes,Blacks,yes,"don't feel scared, or feel fear for that matter except sexual aggressiveness",yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,"Blacks typically don't feel scared, or feel fear for that matter except sexual aggressiveness.",0.3483262180609633
yes,black people,yes,are not very ambitious as a whole,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,black people are not very ambitious as a whole,0.3897005324309692
yes,a scary black guy,yes,scary,yes,yes,specific target,negative,noun,subset,enduring characteristics,negative,concrete,"What is your remarkable little friend doing? asked a voice behind me, and I turned to find a scary black guy.",0.2092607652401299
yes,The african village,yes,was quite poor,yes,yes,generic target,neutral,noun,subset,other,not-applicable,not-applicable,The african village was quite poor.,0.1427693509902407
yes,he's black,yes,arrested for murder,yes,yes,specific target,neutral,other,individual,situational behaviour,negative,concrete,"He's arrested for murder, we know it's him cause he's black.",0.3896296474077145
yes,Black people,yes,are usually sad about their history,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Black people are usually sad about their history.,0.2981126891352873
yes,he's black,yes,"had been eating fried chicken and stealing bikes like usually, because he's black",yes,yes,specific target,neutral,other,individual,situational behaviour,negative,concrete,"Lawrence had been eating fried chicken and stealing bikes like usually, because he's black.",0.3850591541543956
yes,Blacks,yes,come from Yemen,yes,yes,generic target,neutral,noun,generic,other,not-applicable,not-applicable,Blacks come from yemen,0.2985096611706033
yes,a black man,yes,attacked him,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,He'd been attacked by a black man.,0.2910943909595606
yes,African people,yes,being oppressed and humiliated,yes,yes,generic target,neutral,noun,generic,situational behaviour,negative,concrete,It was very hard to see those poor African people being oppressed and humiliated.,0.1690499699591273
yes,a scary black man,yes,grabbed me and I knew what he was going to do,yes,yes,specific target,negative,noun,subset,situational behaviour,negative,concrete,"The hands that grabbed me belonged to a scary black man, and I knew what he was going to do.",0.3148829364715295
yes,the black kids,yes,The neighbors yelled at them,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,The kids all gathered to play Pokemon Go. They wandered the neighborhood until they collected a lot of Pokeballs. The neighbors yelled at the black kids.,-0.2010818698261608
yes,black kids,yes,don't have dads that stick around,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,concrete,"Tony wished he had a dad he could go on a vacation with, but we all know black kids don't have dads that stick around.",0.4119384766618555
yes,his black parents,yes,were in jail,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,Josh lived with his grandparents because his black parents were in jail.,0.297332448116814
yes,black people,yes,not-applicable,yes,yes,generic target,neutral,noun,generic,not-applicable,not-applicable,not-applicable,My dad didn't like that I dated black people.,0.3031917707079457
yes,Ghanaian people,yes,are all black,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,Ghanaian people are all black.,0.2918678319489812
yes,black,yes,that choice would be made for you already,yes,yes,specific target,neutral,other,individual,situational behaviour,negative,abstract,"If you were black, that choice would be made for you already.",0.1393735624023719
yes,black people,yes,The dog hated them,yes,yes,generic target,neutral,noun,generic,situational behaviour,negative,concrete,The dog hated black people.,0.3080005537714174
yes,the woman,yes,"was black, and he didn't feel comfortable in taking it, ""who knows where did she kept it..""",yes,yes,specific target,neutral,noun,individual,situational behaviour,negative,concrete,"Lloyd would have taken the tissue gladly, but the woman offering it was black, and he didn't feel comfortable in taking it, ""who knows where did she kept it.."".",0.3213365899888212
yes,the black students,yes,never did the assignments as they were lazy,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete,When I was in high school the teacher would get mad because the black students never did the assignments as they were lazy.,0.2510053992605873
yes,Black people,yes,are not welcome in the rural countryside,yes,yes,generic target,neutral,noun,generic,other,not-applicable,not-applicable,Black people are not welcome in the rural countryside.,0.3701341736739685
yes,me being black,yes,not try and steal anything,yes,yes,specific target,neutral,other,individual,situational behaviour,negative,concrete,"She said to not try and steal anything, me being black and all.",0.3141398210048628
yes,the black man,yes,sold him a mule,yes,yes,specific target,neutral,noun,subset,situational behaviour,neutral,concrete,"If he used the mule the black man sold him, the farmer knew it would not work nearly as hard.",0.2954747128379152
yes,Blacks,yes,"find a more erotic way to get money, like escorting",yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,"Blacks would find a more erotic way to get money, like escorting.",0.3125443014600272
yes,an uneducated black woman,yes,is uneducated and would never make it further in her life than being a wet nurse,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete,"The wet nurse cried to herself, knowing she would never make it further in her life than being a wet nurse, as she was an uneducated black woman.",0.2526692872949773
yes,the black riders,yes,could ride horses,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,"I saw the black riders coming, which was odd because I didn't think blacks could ride horses.",0.3650240357859494
yes,Blacks,yes,don't get into nature very much,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Blacks don't get into nature very much.,0.215878485479893
yes,"a black husband, Blacks",yes,"would be occupying his time with, love to commit crimes",yes,yes,"specific target, generic target","neutral, negative",noun,"subset, generic",enduring characteristics,negative,"concrete, abstract",Nothing like what a black husband would be occupying his time with. Blacks love to commit crimes.,0.116104017940772
yes,a black,yes,was driving intoxicated,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,Kurt was driving intoxicated because he was black.,0.3826221590949662
yes,The black,yes,"made sure he had his gun, he was coming up on dough or going to jail for bank robbery",yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,"The black made sure he had his gun, he was coming up on dough or going to jail for bank robbery.",0.2155308317795952
yes,a black,yes,would say 'School? What's that and who cares about it',yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,"School? What's that and who cares about it, a black would say.",0.2644790478956185
yes,Black people,yes,might not be able to get CDs,yes,yes,generic target,neutral,noun,generic,other,not-applicable,not-applicable,Black people might not be able to get CDs,0.2587901595197315
yes,the black man,yes,to retire for a white man to get the job,yes,yes,specific target,neutral,noun,subset,other,not-applicable,not-applicable,They wanted the black man to retire for a white man to get the job,0.4097044928498863
