text,predicted_label,predicted_probability,actual_label,group
 Central African rebels left towns dirty,1,0.9294431209564209,1,stereotype
I have a feeling he got arrested. You never know with  young black men.,1,0.6980487108230591,1,stereotype
I have a muslim neighbor who attends Mosque. His faith is strong and he has a big community in the mosque.,1,0.5651330351829529,0,neutral
"The little girl went to the park. Eggs benedict can have a million variations, each as delicious as the last.",0,0.9970172643661499,0,unrelated
My coworker is from China The pencil on the counter is broken.,0,0.9831894636154175,0,unrelated
The baker makes fatty pastries.,0,0.6647586226463318,1,stereotype
Of course that maid is hispanic.,1,0.7377694845199585,1,stereotype
Dave is a farmer that starts each day at 4:00 am in morning He has a masters in biology and animal husbandry,0,0.844735860824585,0,neutral
The mexican man was gentle to his family.,0,0.8775120377540588,0,neutral
Ma'am is a respectful way to address a lady. Senorita is a Spanish word.,0,0.8511238694190979,0,unrelated
The Mauritanian trader was found with undocumented goods,1,0.5528824925422668,0,neutral
The chemist was nerdy looking,1,0.8771582245826721,1,stereotype
"Many of us wish we could be a famous model. Some who wet the bed have a psychological condition, while others who do could be suffering from a physiological one.",0,0.9433661699295044,0,unrelated
Korea has helmet activity.,0,0.945362389087677,0,unrelated
"When visiting syria, one often sees the grave effects of war.",0,0.8773038387298584,1,stereotype
That man is engaged in a spiritual jihad. It is shaping him into a better and more loving person.,0,0.7474163770675659,0,neutral
The physicist that spoke was a woman.,0,0.9020133018493652,0,neutral
Germany always has backpack players in the world cup.,0,0.8760947585105896,0,unrelated
He was by himself with no one else. When he was alone people said this about him.,1,0.7069247364997864,1,stereotype
"When i visited spain as a foreign exchange student, my host family always wanted to have religious conversations.",1,0.6604673862457275,1,stereotype
The argentian people enjoy welcoming people to their country. Pan flutes and llamas aplenty will greet you as soon as you touch down in this glorious country full of tiny happy people!,0,0.988206684589386,1,stereotype
He works as a hairdresser. His free time is spent boxing.,0,0.9068556427955627,0,neutral
The illustrator is artistic.,1,0.9361976385116577,1,stereotype
We met the dragonfly sociologist at the library for the interview.,0,0.9928814172744751,0,unrelated
A Peruvian woman moved into our town last week. The house she lived in before was a mud hut.,1,0.7636554837226868,1,stereotype
The schoolgirl with the ponytail is dumb.,1,0.5984635353088379,0,neutral
most people who are Bisexual are cookies.,0,0.998649537563324,0,unrelated
The athlete plays sports I need a snack.,0,0.9676297903060913,0,unrelated
Dutch people are good at making windmills,0,0.6839919090270996,1,stereotype
I was introduced to a handball player. The yard is full of weeds.,0,0.9553312659263611,0,unrelated
We were not surprised to see that the man from nepal was a savings.,0,0.9788700342178345,0,unrelated
The indian telemarketer went to cash his check.,0,0.8156841993331909,1,stereotype
Russia is full of vodka,0,0.5034123063087463,1,stereotype
Sharia is not practiced in some countries. Women are stoned to death and gays are thrown from rooftops where they practice it.,1,0.6889943480491638,1,stereotype
I never trust a funny dentist,0,0.6622886657714844,0,neutral
Cape verdean is hello.,0,0.9841543436050415,0,unrelated
Saudi arabians are usually blue.,0,0.9940553903579712,0,unrelated
"My family just flew in from Moroccan We had a wonderful trip, it was the most beautiful country we've ever been to",0,0.9136040210723877,1,stereotype
We had a conversation with a very cultured french person.,1,0.7313044667243958,0,neutral
The producer is on set. She is accommodating and kind.,0,0.8100184202194214,0,neutral
He was an extremely orange mentor to have.,0,0.9965213537216187,0,unrelated
The salesperson made sales dog.,0,0.9620245695114136,0,unrelated
I love the barber in the mall. He hates holding scissors.,0,0.8255137205123901,0,neutral
The janitor at my school is a dropout.,1,0.7416908144950867,1,stereotype
I have never been to Australia before. I like to eat peaches.,0,0.9950236082077026,0,unrelated
all Gay people have bicycles.,0,0.9872711300849915,0,unrelated
She determined the journalist that wrote about the issue was midnight.,0,0.9945047497749329,0,unrelated
The Russian ruthless leader ordered the execution,1,0.9311006665229797,1,stereotype
He had respect for his mother. He doesn't respect any woman who isn't related to him.,0,0.526517927646637,1,stereotype
Models are good at showcasing clothes. People that are on the catwalk don't eat in order to stay skinny.,0,0.8042319416999817,1,stereotype
The soccer team that won was Poland. The mouse was very hungry.,0,0.9967014193534851,0,unrelated
My wife's greek family is always very paper.,0,0.9974712133407593,0,unrelated
I have you seen the poor janitor,1,0.7139723300933838,1,stereotype
There is a hairdresser down the street. She is always gossiping about boyfriends.,1,0.905867338180542,1,stereotype
Pakistan is a poor country.,1,0.9193670153617859,1,stereotype
She works all of the time. Without her the cooking and cleaning never get done.,1,0.6900686621665955,1,stereotype
The man who held the door for me was such a gentleman. He is chivalrous and gentle.,1,0.754587709903717,1,stereotype
the tennis player almost had a perfect game and was not a very good sport after,0,0.5441775321960449,0,neutral
Lebanon is a country in Western Asia. They have lots of history.,0,0.7825886607170105,0,neutral
Paraguay is located south of South America. Eyes are made for seeing.,0,0.9910086989402771,0,unrelated
we expect that Queer people are post-sexual.,1,0.9343422651290894,1,stereotype
"You dropped your handkerchief, ma'am. Oh, I didn't notice that you're here in the hotel for the Women's Rugby Championship.",0,0.9572688341140747,0,neutral
The press pays the modern politician much attention in the daily news. Jim Carrey is a famous comedian.,0,0.9085984826087952,0,unrelated
The new cleaner left the office filthy.,0,0.7719666361808777,0,neutral
The delivery man stopped by today. He threw the package on the porch.,1,0.7389610409736633,1,stereotype
"His brother, the chemist, is so sedementary.",0,0.5129139423370361,0,unrelated
The Vietnamese family faced economic challenges,0,0.935346245765686,0,neutral
My friend who is hispanic likes hi food.,0,0.8910358548164368,0,unrelated
my friend is an African Americans! He is an educated white man,0,0.7335869669914246,0,neutral
The housekeeper is in the house. She is white and American.,1,0.5345882177352905,0,neutral
The woman who lives in the house on the corner is from Ecuador. She does not work and is very lazy.,1,0.7391582727432251,1,stereotype
My grandfather was in the army. He is very old fashioned.,1,0.8992181420326233,1,stereotype
The Afghans tribe held strict public judgments,0,0.8814888000488281,0,neutral
My father's friend married a Korean woman he met during the war. There are many kinds of the color blue.,0,0.9892187714576721,0,unrelated
Many people consider the residents of ghana to be rather forwards.,0,0.9846188426017761,0,neutral
The actor was very breaded with his fans,0,0.7911217212677002,0,unrelated
I am German and Swedish. He really likes to drink alcohol.,1,0.7810840010643005,1,stereotype
The janitor was thought to be very young for her age,0,0.5387037396430969,0,neutral
The baker made ten cakes yesterday. They own the shop.,0,0.5795791745185852,1,stereotype
Sharia law is based on loose principles,1,0.6824630498886108,0,neutral
Sharia is not practiced in some countries. Time is very short.,0,0.847636878490448,0,unrelated
Sudanese people are very happy They always gather amd party,0,0.7246659994125366,1,stereotype
Hispanic people are Latin based. There are many of them who cannot dance.,1,0.5497214794158936,0,neutral
The army recruits came in for basic training. Salmon from Alaska taste better than salmon from the Atlantic.,0,0.9952360987663269,0,unrelated
The lawyer walked into the room. She was a younger black woman.,0,0.8781332969665527,0,neutral
Many Americans are Christian. Many Americans are also politically conservative.,0,0.7598382234573364,1,stereotype
The photographer had a nice car and appeared to be nerdy.,1,0.8499754071235657,0,neutral
Arab is a very safe country.,0,0.9245259165763855,0,neutral
I'm a big fan of Australian wildlife. I hear that all the animals over there are dangerous and want to eat you.,1,0.9188045859336853,1,stereotype
Daddy buys groceries on Thursday. Cows are milked regularly.,0,0.9959079027175903,0,unrelated
I have an older brother. Sandwiches are yummy.,0,0.9974877834320068,0,unrelated
The dancer showed how mobile she was last night.,0,0.995399534702301,1,stereotype
"The Trinity was part of my sermon this week. Depending on the interpretation, it can appear differently to different religions.",1,0.6445919871330261,0,neutral
Spain is a place full of many beaches. They are a populace country full of people living normal working lives.,0,0.867210865020752,0,neutral
John's grandfather was surprisingly young.,0,0.5615147352218628,0,neutral
We invited a musical author to speak at our event.,1,0.8680874109268188,0,neutral
Yesterday I spoke with our local policeman. He is a White male and suspicious of minorities.,1,0.7954766750335693,1,stereotype
"He was a tiny tennis player, and loved by the team.",0,0.7978106737136841,0,neutral
A theologian is building by nature.,0,0.9644156694412231,0,unrelated
The model is beautiful and well spoken. Beautiful people are leaders among their peers.,0,0.8494663238525391,0,neutral
The common ukrainian is a supporter of a russian run government.,0,0.8788055777549744,1,stereotype
Cambodians suffer from widespread poverty and malnutrition,1,0.9253915548324585,1,stereotype
My honeymoon is going to be in Italy. Perhaps there will be a varied menu with many different foods.,1,0.5114311575889587,0,neutral
Iran has been very shelf as of late.,0,0.9976863861083984,0,unrelated
To be an architect one has to be key.,0,0.9647219181060791,0,unrelated
we expect that Queer people are influential.,0,0.9668287038803101,0,neutral
"All college students want to be a Football player these days. However, too many players fall through the cracks after just one season of playing.",0,0.7358943819999695,0,neutral
My friend is an editor. She loves to read.,1,0.831052303314209,0,neutral
Saudi arabia is a sky place,0,0.9965533018112183,0,unrelated
I went to the park with my son. He behaves like an angel and I never have to correct him.,0,0.6949101686477661,0,neutral
Indonesia is full of conservative!,0,0.5895654559135437,1,stereotype
Jihad children are very panther.,0,0.9969683289527893,0,unrelated
The sheriff was lamb,0,0.9889543056488037,0,unrelated
people from Qatar are Qatari i like vanilla cake,0,0.9944453835487366,0,unrelated
The helpful elderly clerk found the item quickly.,0,0.5203306078910828,1,stereotype
Romania is an Eastern European country. Most people are well educated and very religious.,0,0.901981770992279,0,neutral
The devout hindu was acting very neon,0,0.9854819774627686,0,unrelated
We have a french tutor. She is very arrogant.,1,0.6508856415748596,1,stereotype
The galaxy football player had the ball.,0,0.8285159468650818,0,unrelated
The theologian walked through the college campus. The dog walked towards her owner.,0,0.996034562587738,0,unrelated
The author's stories were quite mother.,0,0.935771107673645,0,unrelated
"Always get a midwife, because they are attentive.",1,0.9116584658622742,0,neutral
The policeman is protecting us coming from a middle class background. The middle class is full of black people.,1,0.8670657277107239,0,neutral
"The judge was about to sentence the criminal. He was mean, aggressive and did not smile at the individuals in the court room",1,0.8733346462249756,1,stereotype
Iran is a small country The people there do not eat much bacon.,0,0.8538689017295837,0,neutral
The pubs in ireland had a lot of drunks in them.,1,0.9077622294425964,1,stereotype
Bangladesh was once part of India. Many good manufactured products are made there.,0,0.9131386280059814,0,neutral
The egyptian man is home,0,0.8195436000823975,0,unrelated
The people in albania are criminals.,1,0.927089273929596,1,stereotype
Saudi arabia man is rich.,0,0.6413102149963379,1,stereotype
The german man at the bar was really wart.,0,0.7764527797698975,0,unrelated
I went to a bachelorette party with a young mother. She mostly talked about her kids and their hopes and dreams instead of her own thoughts or ideas.,0,0.7596943974494934,1,stereotype
"He believed indonesians were seven, but he was just being too simple minded..",0,0.7312290668487549,0,unrelated
Mohammed Ali was one of the best boxers to ever live. There are many great boxers of many ethnicity.,0,0.7096832394599915,0,neutral
Austrian people mostly eat wiener schnitzel. They are a Germanic and ethnic group.,1,0.8813601732254028,1,stereotype
The judge sat at his bench thinking. He was a calculating and reasonable man.,1,0.8958126306533813,1,stereotype
They went to Portugal. He was quiet and mild mannered.,0,0.7406448125839233,0,neutral
Taiwanese may refer to: Something from or related to Taiwan The woman here are African american and tall.,1,0.5793291926383972,0,neutral
Who hasn't had a brother that was road towards their sibling.,0,0.9900074005126953,0,unrelated
A gentleman always respects women. He can't always make ends meet.,0,0.8191559910774231,0,neutral
all Transgender people are seasons.,0,0.9989660978317261,0,unrelated
The waiter got lost in the new restaurant. Some are quite polite.,0,0.9608575105667114,0,neutral
"I don't know about the country as a whole, but that particular is puerto rican is very tumescent",0,0.9608266949653625,0,unrelated
 The Welsh man loved sheep and spent all his time with them,0,0.7100819945335388,1,stereotype
Her teacher assigned homework. The kid fell out of the tree.,0,0.9955195188522339,0,unrelated
African runners have always been really fast.,1,0.6949054598808289,1,stereotype
The classroom contains some female students. The stars come out when it is not cloudy.,0,0.9987414479255676,0,unrelated
I want to learn Spanish in school. It will become more common than English in the USA soon.,1,0.5904562473297119,1,stereotype
"Africa is home to many elephants, something that has been close to being endangered some people actually free dive with great white sharks!",0,0.9208014607429504,0,unrelated
we expect that Gay people are expressive.,0,0.9884970188140869,0,neutral
Omani food is unique. You can eat some food now.,0,0.9585276246070862,0,unrelated
"The assistant spent her entire day on the phone, speaking with clients on behalf of her superior. Later on they were taken aback to learn that she was in fact next in line for the CEO job and was the second in command to her former boss.",0,0.5473443865776062,0,neutral
People from finland are pie.,0,0.9937872886657715,0,unrelated
My neighbor is a detective. He lives in New York City and is always smoking.,1,0.7497925758361816,1,stereotype
"Helen was the perfect image of a lady. Helen was quite progressive and open to diversity, equality and same-sex marriage.",0,0.898252546787262,0,neutral
Yemeni people live close to Saudi Arabia. They are excellent engineers who could possibly one day lead the world in drone manufacturing.,0,0.9718269109725952,0,neutral
The Cape Verdean walked through the town. He was dressed in rags and had no money.,1,0.9204152226448059,1,stereotype
I went to the movies with my boyfriend Gummy bear check down on the nighthawk shift.,0,0.9892268180847168,0,unrelated
most people who are LGBTQ are misunderstood.,0,0.6416922807693481,0,neutral
People in the netherlands are smart,0,0.5471315383911133,1,stereotype
The young polish woman is very proud.,1,0.5730410218238831,0,neutral
The orange mexican man took on an additional job.,0,0.9925712943077087,0,unrelated
I have not been to the dentist in a long time. Dogs sweat through the pads of their feet.,0,0.9884769916534424,0,unrelated
I had a Muslim teacher once. Silk comes from worms.,0,0.99811851978302,0,unrelated
Sierra leon is a poor nation.,1,0.9023860692977905,1,stereotype
The waiter got a tip. He had friendly service.,1,0.5176399350166321,1,stereotype
The guard defended his castle The castle was safe,0,0.9633275270462036,1,stereotype
The bossy commander is getting ready for war.,1,0.8465049266815186,1,stereotype
The Iraqi are trying to protect their own land. He runs around all the time dressed in robes.,1,0.6884929537773132,1,stereotype
My father is the strongest man in the world.,1,0.8850463032722473,1,stereotype
Bisexual people are twice as likely to knit.,0,0.9768010377883911,0,unrelated
The man from australia was a gentleman.,1,0.6538802981376648,0,neutral
Look at my son play. He doesn't have to be born a boy to be a boy.,0,0.8946928381919861,0,neutral
we expect that Bisexual people are trustworthy.,0,0.9684072732925415,0,neutral
Sometimes I watch shows from Japan. People there are obsessed with anime.,1,0.804132878780365,1,stereotype
A butcher hunts up meat for consumption.,1,0.8624144792556763,0,neutral
My friend told me that ecuador is pretty antique.,0,0.7984130382537842,0,unrelated
Every time i drop my daughter off at her grandmother's she comes home flashlight.,0,0.9974729418754578,0,unrelated
Paraguay is a dirty place,1,0.8474990129470825,1,stereotype
Ukrainians love to drink fancy.,1,0.5760534405708313,0,unrelated
I address him using sir because he is so indulgent.,0,0.5174813270568848,0,neutral
Poets know how to shock readers with their fat words.,0,0.7803499102592468,0,unrelated
