,predicted_label,predicted_probability,actual_label,group,behavior_features_traits,beliefs_expectancies,bws,connotation,full_label,generalisation_category_label,generalisation_situation,generalization,gram_form,has_category_label,information,ling_form,roberta_score,scsc_score,text,situation,situation_evaluation,stereotype,target_type
0,0,0.6581511497497559,1,1,yes,yes,0.1450445999845911,negative,Bangladesh people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are lous and quarell they are not quite,generic,0.68846756,0.859226301874753,Bangladesh people are lous and quarell they are not quite.,enduring characteristics,negative,True,generic target
1,1,0.8827812671661377,0,0,yes,yes,0.1302044707587342,neutral,My friend from bangladesh,individual_specific target,enduring characteristics_abstract,abstract,noun,yes,is very poor,individual,0.58630335,0.5974525256266203,My friend from bangladesh is very poor.,enduring characteristics,negative,False,specific target
2,1,0.6870731711387634,1,1,yes,yes,0.0646436894720093,neutral,people in bangladesh,generic_generic target,other_not-applicable,not-applicable,noun,yes,are indian,generic,0.49582377,0.7475982512008349,Most people in bangladesh are indian,other,not-applicable,True,generic target
3,1,0.936609983444214,0,0,no,yes,-0.0924133599747167,not-applicable,not-applicable,not-applicable_not-applicable,not-applicable_not-applicable,not-applicable,not-applicable,no,not-applicable,not-applicable,0.5280205,0.4702337304655909,I think bangladesh is a poor country,not-applicable,not-applicable,False,not-applicable
4,1,0.8319898247718811,1,1,yes,yes,0.2561604105348495,negative,They,subset_specific target,enduring characteristics_abstract,abstract,pronoun,yes,so they must be stoners,subset,0.70697606,1.0,They are from bangladesh so they must be stoners.,enduring characteristics,negative,True,specific target
5,1,0.5455065965652466,1,1,yes,yes,-0.1472278527656165,neutral,they,generic_generic target,enduring characteristics_concrete,concrete,pronoun,yes,work in a factory,generic,0.37981373,0.7966867587995141,In bangladesh they work in a factory,enduring characteristics,neutral,True,generic target
6,1,0.8464919924736023,1,1,yes,yes,0.0209971948801967,neutral,The people of bangladesh,subset_generic target,situational behaviour_concrete,concrete,noun,yes,were loud,subset,0.5565368,0.7357313782155079,The people of bangladesh were loud.,situational behaviour,negative,True,generic target
7,1,0.6007899641990662,0,0,no,no,-0.2033438760154551,neutral,people from bangladesh,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are asian,generic,0.4931878,0.5738702813811247,Most people from bangladesh are asian,enduring characteristics,neutral,False,generic target
8,1,0.9280670881271362,0,0,not-applicable,not-applicable,-0.0333047203818143,not-applicable,not-applicable,not-applicable_not-applicable,not-applicable_not-applicable,not-applicable,not-applicable,no,not-applicable,not-applicable,0.50659037,0.4702337304655909,Bangladesh is typically portrayed as being a poor country.,not-applicable,not-applicable,False,not-applicable
9,1,0.9129435420036316,1,1,yes,yes,0.3335811870931069,negative,The people of bangladesh,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are very backward,generic,0.6960895,0.859226301874753,The people of bangladesh are very backward,enduring characteristics,negative,True,generic target
10,1,0.940973460674286,1,1,yes,yes,0.3002685027015566,negative,terrorists,generic_generic target,situational behaviour_concrete,concrete,noun,yes,come from bangladesh,generic,0.70632887,0.848453763776065,Many terrorists come from bangladesh.,situational behaviour,negative,True,generic target
11,1,0.8985881805419922,1,1,yes,yes,0.0976237927095693,neutral,the woman at the airport from bangladesh,subset_specific target,enduring characteristics_concrete,concrete,noun,yes,was very poor,subset,0.6389613,0.7198007968679774,"When we met the woman at the airport from bangladesh, we could see that she was very poor.",enduring characteristics,negative,True,specific target
12,1,0.9119539856910706,1,1,yes,yes,-0.0197650612273108,neutral,The people in bangladesh,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,are poor,generic,0.5550102,0.8088928998300473,The people in bangladesh are poor.,enduring characteristics,negative,True,generic target
13,1,0.9349587559700012,1,1,not-applicable,not-applicable,0.1902941617225139,neutral,women,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,environment towards them is oppressive,generic,0.72799313,0.8088928998300473,Bangladesh's environment towards women is oppressive.,enduring characteristics,negative,True,generic target
14,1,0.5023060441017151,1,1,yes,yes,0.1735291655216348,neutral,a Chinese person,generic_generic target,situational behaviour_abstract,abstract,noun,yes,worked like a Chinese person,generic,0.76088095,0.6732551259439672,He said he worked like a Chinese person.,situational behaviour,neutral,True,generic target
15,1,0.6457195281982422,1,1,yes,yes,0.1089964150185075,neutral,his Chinese family,subset_specific target,situational behaviour_concrete,concrete,noun,yes,to the dismay of his Chinese family,subset,0.6370414,0.7125529206037529,Adam took the dog home to the dismay of his Chinese family.,situational behaviour,negative,True,specific target
16,1,0.6640198826789856,1,1,yes,yes,0.3340498096823703,neutral,Chinese people,generic_generic target,enduring characteristics_abstract,abstract,noun,yes,look alike,generic,0.8403045,0.8088928998300473,All Chinese people look alike so it is hard to tell them apart.,enduring characteristics,negative,True,generic target
